minute,sum(bid_price)
2024-06-01 00:00,35.1603
2024-06-01 00:01,40.9368
2024-06-01 00:02,27.5747
2024-06-01 00:03,22.3658
2024-06-01 00:04,12.2225
2024-06-01 00:05,47.5053
2024-06-01 00:06,19.581
2024-06-01 00:07,40.45270000000001
2024-06-01 00:08,26.6655
2024-06-01 00:09,24.701500000000003
2024-06-01 00:10,47.6864
2024-06-01 00:11,17.433899999999998
2024-06-01 00:12,39.678200000000004
2024-06-01 00:13,28.818199999999997
2024-06-01 00:14,29.9501
2024-06-01 00:15,18.1792
2024-06-01 00:16,24.6462
2024-06-01 00:17,24.2446
2024-06-01 00:18,47.6958
2024-06-01 00:19,34.7184
2024-06-01 00:20,2.2827
2024-06-01 00:21,26.9328
2024-06-01 00:22,58.365300000000005
2024-06-01 00:23,11.6811
2024-06-01 00:24,20.5892
2024-06-01 00:25,36.952
2024-06-01 00:26,44.1064
2024-06-01 00:27,50.6434
2024-06-01 00:28,45.068200000000004
2024-06-01 00:29,20.6452
2024-06-01 00:30,15.9718
2024-06-01 00:31,45.101
2024-06-01 00:32,28.8176
2024-06-01 00:33,47.029900000000005
2024-06-01 00:34,37.054500000000004
2024-06-01 00:35,33.4236
2024-06-01 00:36,25.899299999999997
2024-06-01 00:37,33.0761
2024-06-01 00:38,43.338800000000006
2024-06-01 00:39,34.392900000000004
2024-06-01 00:40,9.1418
2024-06-01 00:41,13.889399999999998
2024-06-01 00:42,48.4867
2024-06-01 00:43,29.749299999999998
2024-06-01 00:44,29.262900000000002
2024-06-01 00:45,29.883499999999998
2024-06-01 00:46,49.0775
2024-06-01 00:47,31.601999999999997
2024-06-01 00:48,35.3748
2024-06-01 00:49,40.3314
2024-06-01 00:50,14.020300000000002
2024-06-01 00:51,24.078200000000002
2024-06-01 00:52,11.677
2024-06-01 00:53,24.613999999999997
2024-06-01 00:54,22.655499999999996
2024-06-01 00:55,44.9805
2024-06-01 00:56,13.2454
2024-06-01 00:57,15.2351
2024-06-01 00:58,36.8085
2024-06-01 00:59,29.8101
2024-06-01 01:00,18.9294
2024-06-01 01:01,13.821
2024-06-01 01:02,36.212
2024-06-01 01:03,18.028399999999998
2024-06-01 01:04,33.5248
2024-06-01 01:05,45.5893
2024-06-01 01:06,23.0128
2024-06-01 01:07,20.2049
2024-06-01 01:08,51.778
2024-06-01 01:09,40.6186
2024-06-01 01:10,20.3698
2024-06-01 01:11,16.0005
2024-06-01 01:12,32.1744
2024-06-01 01:13,38.5471
2024-06-01 01:14,22.2062
2024-06-01 01:15,10.7461
2024-06-01 01:16,15.216099999999999
2024-06-01 01:17,23.3378
2024-06-01 01:18,49.109
2024-06-01 01:19,30.9379
2024-06-01 01:20,16.8241
2024-06-01 01:21,49.304100000000005
2024-06-01 01:22,47.534499999999994
2024-06-01 01:23,11.538999999999998
2024-06-01 01:24,14.201899999999998
2024-06-01 01:25,26.5836
2024-06-01 01:26,25.691399999999998
2024-06-01 01:27,40.3668
2024-06-01 01:28,35.4855
2024-06-01 01:29,18.4639
2024-06-01 01:30,15.093999999999998
2024-06-01 01:31,31.7395
2024-06-01 01:32,22.339399999999998
2024-06-01 01:33,17.4317
2024-06-01 01:34,6.0444
2024-06-01 01:35,57.874700000000004
2024-06-01 01:36,31.0493
2024-06-01 01:37,32.3392
2024-06-01 01:38,24.1413
2024-06-01 01:39,45.3141
2024-06-01 01:40,59.1486
2024-06-01 01:41,11.3419
2024-06-01 01:42,9.3275
2024-06-01 01:43,33.0545
2024-06-01 01:44,29.5098
2024-06-01 01:45,14.7847
2024-06-01 01:46,29.0013
2024-06-01 01:47,39.5997
2024-06-01 01:48,38.4357
2024-06-01 01:49,25.9437
2024-06-01 01:50,38.677099999999996
2024-06-01 01:51,29.4857
2024-06-01 01:52,28.712600000000002
2024-06-01 01:53,23.400699999999997
2024-06-01 01:54,17.138399999999997
2024-06-01 01:55,30.7352
2024-06-01 01:56,21.136000000000003
2024-06-01 01:57,10.2821
2024-06-01 01:58,48.2675
2024-06-01 01:59,22.6294
2024-06-01 02:00,24.0265
2024-06-01 02:01,45.3095
2024-06-01 02:02,27.483999999999998
2024-06-01 02:03,26.9519
2024-06-01 02:04,43.790299999999995
2024-06-01 02:05,16.308300000000003
2024-06-01 02:06,53.1649
2024-06-01 02:07,43.5206
2024-06-01 02:08,21.77
2024-06-01 02:09,35.9127
2024-06-01 02:10,45.665
2024-06-01 02:11,34.159499999999994
2024-06-01 02:12,24.3442
2024-06-01 02:13,42.9715
2024-06-01 02:14,25.527100000000004
2024-06-01 02:15,26.079299999999996
2024-06-01 02:16,43.9783
2024-06-01 02:17,27.237299999999998
2024-06-01 02:18,32.7609
2024-06-01 02:19,20.0438
2024-06-01 02:20,30.653299999999994
2024-06-01 02:21,33.921699999999994
2024-06-01 02:22,29.8309
2024-06-01 02:23,29.028600000000004
2024-06-01 02:24,31.1825
2024-06-01 02:25,13.906899999999998
2024-06-01 02:26,42.3868
2024-06-01 02:27,57.7041
2024-06-01 02:28,38.3721
2024-06-01 02:29,26.4813
2024-06-01 02:30,24.2854
2024-06-01 02:31,43.8255
2024-06-01 02:32,22.093400000000003
2024-06-01 02:33,27.026899999999998
2024-06-01 02:34,13.386800000000001
2024-06-01 02:35,28.217
2024-06-01 02:36,27.8536
2024-06-01 02:37,19.8331
2024-06-01 02:38,36.2067
2024-06-01 02:39,15.748300000000002
2024-06-01 02:40,15.362300000000001
2024-06-01 02:41,38.633799999999994
2024-06-01 02:42,16.8982
2024-06-01 02:43,39.0732
2024-06-01 02:44,29.161
2024-06-01 02:45,36.1686
2024-06-01 02:46,25.2641
2024-06-01 02:47,27.790100000000002
2024-06-01 02:48,33.4355
2024-06-01 02:49,25.656299999999998
2024-06-01 02:50,38.59149999999999
2024-06-01 02:51,26.694899999999997
2024-06-01 02:52,32.636300000000006
2024-06-01 02:53,23.300400000000003
2024-06-01 02:54,41.8515
2024-06-01 02:55,33.0565
2024-06-01 02:56,12.357299999999999
2024-06-01 02:57,43.6961
2024-06-01 02:58,22.3554
2024-06-01 02:59,32.395399999999995
2024-06-01 03:00,20.160700000000002
2024-06-01 03:01,32.8289
2024-06-01 03:02,33.0589
2024-06-01 03:03,37.4628
2024-06-01 03:04,52.8174
2024-06-01 03:05,37.3778
2024-06-01 03:06,64.6917
2024-06-01 03:07,20.5733
2024-06-01 03:08,27.7148
2024-06-01 03:09,39.39770000000001
2024-06-01 03:10,25.4187
2024-06-01 03:11,26.0978
2024-06-01 03:12,52.109300000000005
2024-06-01 03:13,24.935200000000002
2024-06-01 03:14,16.8765
2024-06-01 03:15,37.0174
2024-06-01 03:16,21.7947
2024-06-01 03:17,20.3335
2024-06-01 03:18,33.4706
2024-06-01 03:19,32.851600000000005
2024-06-01 03:20,20.6003
2024-06-01 03:21,40.036199999999994
2024-06-01 03:22,43.7493
2024-06-01 03:23,32.992000000000004
2024-06-01 03:24,30.753799999999995
2024-06-01 03:25,21.1164
2024-06-01 03:26,30.3027
2024-06-01 03:27,36.4661
2024-06-01 03:28,52.7539
2024-06-01 03:29,20.7042
2024-06-01 03:30,40.3313
2024-06-01 03:31,35.856300000000005
2024-06-01 03:32,23.7404
2024-06-01 03:33,15.258400000000002
2024-06-01 03:34,22.6939
2024-06-01 03:35,24.360499999999995
2024-06-01 03:36,26.956699999999998
2024-06-01 03:37,51.385
2024-06-01 03:38,25.3953
2024-06-01 03:39,53.70719999999999
