publisher_id,sum(bid_price)
383,11.6964
710,3.5517
701,11.4818
918,5.8887
104,10.2926
774,21.5542
767,13.417200000000001
403,9.1121
670,9.1013
360,6.4529
522,0.6206
936,9.9713
958,9.0381
953,0.1529
204,11.083300000000001
949,6.4472000000000005
259,3.0286
784,10.7833
615,11.8319
458,9.8675
366,8.9475
802,11.8111
110,22.2027
836,10.086400000000001
867,8.811599999999999
956,12.3112
225,8.6423
854,13.7405
5,3.721
168,5.3673
253,6.917400000000001
313,3.8545
498,4.7569
970,5.5512
97,2.2314
827,8.3256
997,9.8067
557,14.6355
224,11.4175
544,14.8293
733,3.7142
700,4.3936
165,2.6829
301,2.8809
681,6.004999999999999
249,7.2403
16,8.264
374,6.028600000000001
619,4.7634
636,15.6878
79,16.749
741,3.2973
689,6.1768
786,5.6707
54,16.651400000000002
865,3.3367
944,10.500599999999999
482,8.7918
67,4.4342
812,9.761
518,5.9409
993,3.3925
275,2.7716
134,11.0822
91,7.1922
35,10.517
981,0.3062
601,8.9406
928,1.6143
728,5.4613
512,6.2623
37,18.9793
220,2.1836
702,17.8247
915,4.7625
467,6.419700000000001
617,14.395800000000001
162,5.1146
486,5.4345
194,1.4592
254,5.4989
508,8.5714
806,5.3538
747,6.8457
967,2.0388
684,5.6642
351,2.6459
677,7.3773
602,3.1628
238,9.3296
17,0.4228
22,5.2828
235,4.8657
868,11.560500000000001
273,5.456099999999999
184,6.5167
594,14.4368
987,0.4116
598,0.5095
485,1.3173
680,10.420200000000001
609,5.7608
480,21.9285
612,4.5943
326,11.1308
26,12.718399999999999
875,6.1624
14,7.7719000000000005
323,10.6864
713,13.068999999999999
864,1.5486
355,5.7539
180,0.2359
118,5.2873
30,1.5093
288,4.082800000000001
829,7.4058
418,0.0306
317,10.7692
596,2.7699
726,10.6439
379,10.5473
62,5.405900000000001
587,4.0872
780,15.337
939,10.267900000000001
620,2.5901
760,3.3957
312,8.9602
182,9.9617
960,9.7266
479,4.7753
772,5.7235
933,11.564499999999999
371,2.572
723,2.3919
419,6.1073
179,12.725200000000001
31,1.7697
745,8.537700000000001
893,4.5309
52,3.9337
244,7.6264
547,1.3987
513,0.5382
934,3.2327000000000004
561,6.033
509,9.8612
457,3.7131
229,5.7783
440,2.7661
358,3.0111
55,5.1839
135,6.2079
163,1.5902
166,3.8274
9,0.8342
32,8.3511
268,2.2167
393,5.1516
64,2.9891
824,0.1624
114,4.5509
696,0.3215
307,0.1313
96,7.8265
852,2.4693
973,4.784000000000001
500,0.9167
132,7.2779
715,1.6299
160,3.5787
897,1.8584
751,3.5852
255,3.7075
496,0.2604
236,6.5593
869,9.2174
287,2.9711
155,4.0022
925,4.4131
422,0.834
183,11.0519
423,12.5262
800,7.8233999999999995
560,3.8443
198,9.9194
257,0.4071
364,5.4643
550,3.2607
885,6.2076
880,8.0081
506,3.6003
350,1.0392
459,0.4056
719,2.9701
952,5.2516
859,3.3079
310,8.0384
338,4.4801
789,6.7457
306,0.7254
536,1.3127
833,3.5841
472,2.2446
130,2.4676
367,15.095300000000002
354,8.1262
139,10.1528
217,8.5149
357,32.120200000000004
